name,description,price,category,stock,published
Samsung Galaxy S26 2,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 2,Running shoes,9000,Shoes,30,false
Dell Latitude 2,Professional laptop,65000,Laptop,10,true
iPhone 17 2,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 2,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 3,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 3,Running shoes,9000,Shoes,30,false
Dell Latitude 3,Professional laptop,65000,Laptop,10,true
iPhone 17 3,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 3,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 4,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 4,Running shoes,9000,Shoes,30,false
Dell Latitude 4,Professional laptop,65000,Laptop,10,true
iPhone 17 4,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 4,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 5,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 5,Running shoes,9000,Shoes,30,false
Dell Latitude 5,Professional laptop,65000,Laptop,10,true
iPhone 17 5,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 5,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 6,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 6,Running shoes,9000,Shoes,30,false
Dell Latitude 6,Professional laptop,65000,Laptop,10,true
iPhone 17 6,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 6,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 7,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 7,Running shoes,9000,Shoes,30,false
Dell Latitude 7,Professional laptop,65000,Laptop,10,true
iPhone 17 7,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 7,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 8,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 8,Running shoes,9000,Shoes,30,false
Dell Latitude 8,Professional laptop,65000,Laptop,10,true
iPhone 17 8,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 8,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 9,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 9,Running shoes,9000,Shoes,30,false
Dell Latitude 9,Professional laptop,65000,Laptop,10,true
iPhone 17 9,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 9,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 10,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 10,Running shoes,9000,Shoes,30,false
Dell Latitude 10,Professional laptop,65000,Laptop,10,true
iPhone 17 10,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 10,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 11,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 11,Running shoes,9000,Shoes,30,false
Dell Latitude 11,Professional laptop,65000,Laptop,10,true
iPhone 17 11,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 11,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 12,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 12,Running shoes,9000,Shoes,30,false
Dell Latitude 12,Professional laptop,65000,Laptop,10,true
iPhone 17 12,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 12,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 13,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 13,Running shoes,9000,Shoes,30,false
Dell Latitude 13,Professional laptop,65000,Laptop,10,true
iPhone 17 13,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 13,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 14,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 14,Running shoes,9000,Shoes,30,false
Dell Latitude 14,Professional laptop,65000,Laptop,10,true
iPhone 17 14,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 14,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 15,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 15,Running shoes,9000,Shoes,30,false
Dell Latitude 15,Professional laptop,65000,Laptop,10,true
iPhone 17 15,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 15,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 16,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 16,Running shoes,9000,Shoes,30,false
Dell Latitude 16,Professional laptop,65000,Laptop,10,true
iPhone 17 16,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 16,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 17,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 17,Running shoes,9000,Shoes,30,false
Dell Latitude 17,Professional laptop,65000,Laptop,10,true
iPhone 17 17,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 17,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 18,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 18,Running shoes,9000,Shoes,30,false
Dell Latitude 18,Professional laptop,65000,Laptop,10,true
iPhone 17 18,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 18,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 19,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 19,Running shoes,9000,Shoes,30,false
Dell Latitude 19,Professional laptop,65000,Laptop,10,true
iPhone 17 19,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 19,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 20,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max 20,Running shoes,9000,Shoes,30,false
Dell Latitude 20,Professional laptop,65000,Laptop,10,true
iPhone 17 20,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant 20,DNMX Jeans Pant For Men,799,pants,100,false
