name,description,price,category,stock,published
iPhone 17,Latest Apple smartphone,80000,Mobile,20,true
Samsung Galaxy S26,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max,Running shoes,9000,Shoes,30,false
Dell Latitude,Professional laptop,65000,Laptop,10,true
Samsung Galaxy S26,Samsung flagship smartphone,75000,Mobile,15,true
Nike Air Max,Running shoes,9000,Shoes,30,false
Dell Latitude,Professional laptop,65000,Laptop,10,true
iPhone 17,Latest Apple smartphone,80000,Mobile,20,true
Jeans Pant,DNMX Jeans Pant For Men,799,pants,100,false
Samsung Galaxy S26 2,Samsung flagship smartphone,75000,Mobile,15,true
